Rank,Company,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Number_of_employees,MarketCap_Updated_M,Revenues_M,RevenuePercentChange,Profits_M,Assets_M,CEO,HeadquartersCity,HeadquartersState,Website,CompanyType
939,ESAB,Industrials,Industrial Machinery,yes,no,no,no,28,yes,no,n/a,9000.0,6672.0,2774.8,7.0,205.3,3828.6,Shyam P. Kambeyanda,North Bethesda,Maryland,https://www.esabcorporation.com,Public
940,Amica Mutual Insurance,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,23,yes,no,n/a,3597.0,-,2772.5,6.6,-218.4,6668.0,Edmiund Shallcross III,Lincoln,Rhode Island,https://www.amica.com,Private
941,AvalonBay Communities,Financials,Real estate,yes,no,no,yes,27,yes,no,n/a,3009.0,26384.0,2767.9,6.7,928.8,20678.2,Benjamin W. Schall,Arlington,Virginia,https://www.avalonbay.com,Public
942,DocuSign,Technology,Computer Software,yes,no,no,no,41,yes,no,n/a,6840.0,12233.0,2761.9,9.8,74.0,2971.3,Allan C. Thygesen,San Francisco,California,https://www.docusign.com,Public
943,Titan Machinery,Retailing,Specialty Retailers: Other,yes,no,no,yes,0,no,no,n/a,3471.0,567.0,2758.4,24.9,112.4,1992.3,Bryan J. Knutson,West Fargo,North Dakota,https://www.titanmachinery.com,Public
944,ModivCare,Health Care,Health Care: Pharmacy and Other Services,no,no,no,yes,41,yes,no,n/a,21200.0,333.0,2756.2,9.7,-204.5,1767.3,L. Heath Sampson,Denver,Colorado,https://www.modivcare.com,Public
945,Hovnanian Enterprises,Engineering & Construction,Homebuilders,yes,no,no,no,-42,no,yes,n/a,1715.0,957.0,2756.0,-5.7,205.9,2492.9,Ara K. Hovnanian,Matawan,New Jersey,https://www.khov.com,Public
946,Etsy,Retailing,Internet Services and Retailing,yes,no,no,no,26,yes,no,n/a,2420.0,8143.0,2748.4,7.1,307.6,2685.4,Joshua G. Silverman,Brooklyn,New York,https://www.etsy.com,Public
947,Adams Resources & Energy,Energy,Petroleum Refining,yes,no,no,no,-111,no,yes,n/a,741.0,74.0,2745.3,-18.5,0.2,361.3,Kevin J. Roycraft,Houston,Texas,https://www.adamsresources.com,Public
948,Surgery Partners,Health Care,Health Care: Medical Facilities,no,no,no,yes,30,yes,no,n/a,12000.0,3777.0,2743.3,8.0,-11.9,6876.7,J. Eric  Evans,Brentwood,Tennessee,https://www.surgerypartners.com,Public
949,Columbia Banking System,Financials,Commercial Banks,yes,no,no,yes,0,no,no,n/a,5114.0,4050.0,2743.3,103.6,348.7,52173.6,Clint E. Stein,Tacoma,Washington,https://www.columbiabankingsystem.com,Public
950,Verisk,Business Services,Financial Data Services,yes,no,no,yes,-63,no,yes,n/a,7500.0,33801.0,2728.2,-10.1,614.6,4366.1,Lee M. Shavel,Jersey City,New Jersey,https://www.verisk.com,Public
951,MasterBrand,Materials,"Building Materials, Glass",yes,no,no,no,0,no,no,n/a,12307.0,2380.0,2726.2,,182.0,2381.7,R. David Banyard Jr.,Beachwood,Ohio,https://www.masterbrand.com,Public
952,Hawaiian Holdings,Transportation,Airlines,no,no,no,yes,2,yes,no,n/a,7362.0,691.0,2716.3,2.8,-260.5,3733.5,Peter R. Ingram,Honolulu,Hawaii,https://www.hawaiianairlines.com,Public
953,AMC Networks,Media,Entertainment,yes,no,yes,no,-74,no,yes,n/a,1900.0,528.0,2711.9,-12.4,215.5,4969.8,Kristin A. Dolan,New York,New York,https://www.amcnetworks.com,Public
954,SBA Communications,Financials,Real estate,yes,no,no,no,1,yes,no,n/a,1787.0,23427.0,2711.6,3.0,501.8,10178.4,Brendan T. Cavanagh,Boca Raton,Florida,https://www.sbasite.com,Public
955,Americold Realty Trust,Financials,Real estate,no,no,no,no,-51,no,yes,n/a,14632.0,7072.0,2702.8,-7.3,-336.2,7869.3,George F. Chappelle Jr.,Atlanta,Georgia,https://www.americold.com,Public
956,NewMarket,Chemicals,Chemicals,yes,no,no,no,-24,no,yes,n/a,2000.0,6086.0,2698.4,-2.4,388.9,2308.9,Thomas E. Gottwald,Richmond,Virginia,https://www.newmarket.com,Public
957,Park Hotels & Resorts,Financials,Real estate,yes,no,no,no,30,yes,no,n/a,90.0,3682.0,2698.0,7.9,97.0,9419.0,Thomas J. Baltimore Jr.,Tysons,Virginia,https://www.pkhotelsandresorts.com,Public
958,Alexandria Real Estate Equities,Financials,Real estate,yes,no,no,no,0,no,no,n/a,568.0,22555.0,2690.3,19.2,103.6,36771.4,Peter M. Moglia,Pasadena,California,https://www.are.com,Public
959,Griffon,Materials,"Building Materials, Glass",yes,no,no,no,-67,no,yes,n/a,5700.0,3763.0,2685.2,-10.8,77.6,2418.9,Ronald J. Kramer,New York,New York,https://www.griffon.com,Public
960,Air Lease,Business Services,Equipment Leasing,yes,no,no,yes,0,no,no,n/a,163.0,5729.0,2685.0,15.9,614.6,30452.3,John L. Plueger,Los Angeles,California,https://www.airleasecorp.com,Public
961,UL Solutions,Business Services,Diversified Outsourcing Services,yes,no,yes,yes,0,no,no,n/a,15063.0,-,2678.0,6.3,260.0,2736.0,Jennifer F. Scanlon,Northbrook,Illinois,https://www.ul.com,Public
962,Teradyne,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,-90,no,yes,n/a,6500.0,17260.0,2676.3,-15.2,448.8,3486.8,Gregory S. Smith,North Reading,Massachusetts,https://www.teradyne.com,Public
