Rank,Company,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Number_of_employees,MarketCap_Updated_M,Revenues_M,RevenuePercentChange,Profits_M,Assets_M,CEO,HeadquartersCity,HeadquartersState,Website,CompanyType
249,Jacobs Solutions,Business Services,Diversified Outsourcing Services,yes,no,no,yes,28,yes,no,no,58550.0,19316.0,16352.4,9.6,665.8,14617.1,Bob Pragada,Dallas,Texas,https://www.jacobs.com,Public
250,Edison International,Energy,Utilities: Gas and Electric,yes,no,no,yes,-9,no,yes,no,14346.0,27208.0,16338.0,-5.1,1197.0,81758.0,Pedro J. Pizarro,Rosemead,California,https://www.edisoninvestor.com,Public
251,MGM Resorts International,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,64,yes,no,no,67000.0,14966.0,16164.2,23.1,1142.2,42368.5,William J. Hornbuckle,Las Vegas,Nevada,https://www.mgmresorts.com,Public
252,Guardian Life Ins. Co. of America,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,no,29,yes,no,no,7561.0,-,16137.0,10.1,375.0,96202.0,Andrew J. McMahon,New York,New York,https://www.guardianlife.com,Private
253,Illinois Tool Works,Industrials,Industrial Machinery,yes,no,no,no,7,yes,no,no,45000.0,80162.0,16107.0,1.1,2957.0,15518.0,Christopher A. O'Herlihy,Glenview,Illinois,https://www.itw.com,Public
254,Ameriprise Financial,Financials,Diversified Financials,yes,no,no,yes,35,yes,no,no,13800.0,43928.0,16096.0,12.2,2556.0,175191.0,James M. Cracchiolo,Minneapolis,Minnesota,https://www.ameriprise.com,Public
255,PulteGroup,Engineering & Construction,Homebuilders,yes,no,no,no,4,yes,no,no,6382.0,25449.0,16061.6,-1.0,2602.4,16087.1,Ryan R. Marshall,Atlanta,Georgia,https://www.pultegroupinc.com,Public
256,Targa Resources,Energy,Pipelines,yes,no,no,yes,-68,no,yes,no,3182.0,24922.0,16060.3,-23.3,1345.9,20671.8,Matthew J. Meloy,Houston,Texas,https://www.targaresources.com,Public
257,Ally Financial,Financials,Diversified Financials,yes,no,no,no,81,yes,no,no,11100.0,12338.0,15971.0,30.9,1020.0,196392.0,Michael G. Rhodes,Detroit,Michigan,https://www.ally.com,Public
258,BorgWarner,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,4,yes,no,no,39900.0,8023.0,15921.0,0.8,625.0,14453.0,Frederic B. Lissalde,Auburn Hills,Michigan,https://www.borgwarner.com,Public
259,Estée Lauder,Household Products,Household and Personal Products,yes,no,no,no,-29,no,yes,no,53010.0,55259.0,15910.0,-10.3,1006.0,23415.0,Fabrizio Freda,New York,New York,https://www.elcompanies.com,Public
260,Loews,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,37,yes,no,no,12280.0,17396.0,15901.0,13.2,1434.0,79197.0,James S. Tisch,New York,New York,https://www.loews.com,Public
261,O'Reilly Automotive,Retailing,Specialty Retailers: Other,yes,no,no,yes,26,yes,no,no,82958.0,66634.0,15812.3,9.7,2346.6,13873.0,Brad Beckham,Springfield,Missouri,https://www.oreillyauto.com,Public
262,Markel Group,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,90,yes,no,no,21600.0,19947.0,15803.6,35.4,1996.1,55045.7,Thomas S. Gayner,Glen Allen,Virginia,https://www.mklgroup.com,Public
263,Stanley Black & Decker,Household Products,"Home Equipment, Furnishings",no,no,no,no,-36,no,yes,no,50500.0,15062.0,15781.1,-12.3,-310.5,23663.8,Donald Allan Jr.,New Britain,Connecticut,https://www.stanleyblackanddecker.com,Public
264,Micron Technology,Technology,Semiconductors and Other Electronic Components,no,no,no,no,-128,no,yes,no,43000.0,130548.0,15540.0,-49.5,-5833.0,64254.0,Sanjay Mehrotra,Boise,Idaho,https://www.micron.com,Public
265,Fluor,Engineering & Construction,Engineering & Construction,yes,no,no,no,38,yes,no,no,30187.0,7192.0,15474.0,12.6,139.0,6973.0,David E. Constable,Irving,Texas,https://www.fluor.com,Public
266,Leidos Holdings,Technology,Information Technology Services,yes,no,no,yes,22,yes,no,no,47000.0,17701.0,15438.0,7.2,199.0,12695.0,Thomas A. Bell,Reston,Virginia,https://www.leidos.com,Public
267,Viatris,Health Care,Pharmaceuticals,yes,no,no,yes,-11,no,yes,no,38000.0,14180.0,15426.9,-5.1,54.7,47685.5,Scott A. Smith,Canonsburg,Pennsylvania,https://www.viatris.com,Public
268,Kinder Morgan,Energy,Pipelines,yes,no,yes,yes,-54,no,yes,no,10891.0,40703.0,15334.0,-20.1,2391.0,71020.0,Kimberly A. Dang,Houston,Texas,https://www.kindermorgan.com,Public
269,Ecolab,Chemicals,Chemicals,yes,no,no,yes,24,yes,no,no,48000.0,66017.0,15320.2,8.0,1372.3,21846.6,Christophe Beck,St. Paul,Minnesota,https://www.ecolab.com,Public
270,Baxter International,Health Care,Medical Products and Equipment,yes,no,no,no,4,yes,no,no,60000.0,21705.0,15282.0,1.1,2656.0,28276.0,Jos? E. Almeida,Deerfield,Illinois,https://www.baxter.com,Public
271,Devon Energy,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-55,no,yes,no,1900.0,31864.0,15258.0,-20.4,3747.0,24490.0,Richard E. Muncrief,Oklahoma City,Oklahoma,https://www.devonenergy.com,Public
272,Kellanova,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-2,no,yes,no,23000.0,19579.0,15207.0,-0.7,951.0,15621.0,Steven A. Cahillane,Chicago,Illinois,https://www.kellanova.com,Public
273,Farmers Insurance Exchange,Financials,Insurance: Property and Casualty (Mutual),no,no,no,no,22,yes,no,no,9685.0,-,15194.4,7.8,-652.9,23677.7,Raul Vargas,Woodland Hills,California,https://www.farmers.com,Private
274,Casey's General Stores,Retailing,Specialty Retailers: Other,yes,no,no,yes,42,yes,no,no,31637.0,11788.0,15094.5,16.5,446.7,5943.3,Darren M. Rebelez,Ankeny,Iowa,https://www.caseys.com,Public
275,IQVIA Holdings,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,11,yes,no,no,87000.0,46029.0,14984.0,4.0,1358.0,26681.0,Ari Bousbib,Durham,North Carolina,https://www.iqvia.com,Public
276,Republic Services,Business Services,Waste Management,yes,no,no,yes,33,yes,no,no,41000.0,60229.0,14964.5,10.8,1731.0,31410.1,Jon Vander Ark,Phoenix,Arizona,https://www.republicservices.com,Public
277,Fox,Media,Entertainment,yes,no,no,no,23,yes,no,no,10400.0,14225.0,14913.0,6.7,1239.0,21866.0,Lachlan K. Murdoch,New York,New York,https://www.foxcorporation.com,Public
278,Gap,Retailing,Specialty Retailers: Apparel,yes,no,no,no,-13,no,yes,no,85000.0,10290.0,14889.0,-4.7,502.0,11044.0,Richard Dickson,San Francisco,California,https://www.gapinc.com,Public
279,Keurig Dr Pepper,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,17,yes,no,no,28100.0,42557.0,14814.0,5.4,2181.0,52130.0,Timothy P. Cofer,Burlington,Massachusetts,https://keurig.com,Public
280,Reliance,Materials,Metals,yes,no,yes,yes,-33,no,yes,no,15250.0,19190.0,14805.9,-13.0,1335.9,10480.3,Karla R. Lewis,Scottsdale,Arizona,https://reliance.com,Public
281,Asbury Automotive Group,Retailing,"Automotive Retailing, Services",yes,no,no,yes,-13,no,yes,no,15000.0,4811.0,14802.7,-4.1,602.5,10159.4,David W. Hult,Duluth,Georgia,https://www.asburyauto.com,Public
282,Pacific Life,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,30,yes,no,no,4181.0,-,14802.0,10.8,875.0,217386.0,Darryl D. Button,Newport Beach,California,https://www.pacificlife.com,Private
283,Vistra,Energy,Energy,yes,no,no,no,21,yes,no,no,4870.0,24230.0,14779.0,7.7,1493.0,32966.0,James A. Burke,Irving,Texas,https://www.vistracorp.com,Public
284,Western & Southern Financial Group,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,30,yes,no,no,2669.0,-,14775.1,12.3,484.8,75968.9,John F. Barrett,Cincinnati,Ohio,https://www.westernsouthern.com,Private
285,Andersons,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,-46,no,yes,no,2297.0,1953.0,14750.1,-15.0,101.2,3855.0,Patrick E. Bowe,Maumee,Ohio,https://www.andersonsinc.com,Public
286,Nordstrom,Retailing,General Merchandisers,yes,no,no,no,-19,no,yes,no,54000.0,3309.0,14693.0,-5.4,134.0,8444.0,Erik B. Nordstrom,Seattle,Washington,https://www.nordstrom.com,Public
287,Omnicom Group,Business Services,"Advertising, marketing",yes,no,no,yes,3,yes,no,no,75900.0,19081.0,14692.2,2.8,1391.4,28044.6,John D. Wren,New York,New York,https://www.omnicomgroup.com,Public
288,Fidelity National Information Services,Business Services,Financial Data Services,no,no,yes,no,-5,no,yes,no,60000.0,42762.0,14680.0,1.0,-6654.0,55105.0,Stephanie L. Ferris,Jacksonville,Florida,https://www.fisglobal.com,Public
289,Consolidated Edison,Energy,Utilities: Gas and Electric,yes,no,no,yes,-25,no,yes,no,14592.0,31376.0,14663.0,-6.4,2519.0,66331.0,Timothy P. Cawley,New York,New York,https://www.conedison.com,Public
290,CSX,Transportation,Railroads,yes,no,no,yes,-11,no,yes,no,23232.0,72568.0,14657.0,-1.3,3715.0,42408.0,Joseph R. Hinrichs,Jacksonville,Florida,https://www.csx.com,Public
291,AECOM,Engineering & Construction,Engineering & Construction,yes,no,no,yes,19,yes,no,no,52000.0,13341.0,14591.3,8.1,55.3,11233.4,W. Troy Rudd,Dallas,Texas,https://www.aecom.com,Public
292,Lumen Technologies,Telecommunications,Telecommunications,no,no,yes,no,-55,no,yes,no,28000.0,1585.0,14557.0,-16.7,-10298.0,34018.0,Kathleen E. Johnson,Monroe,Louisiana,https://www.lumen.com,Public
293,Tractor Supply,Retailing,Specialty Retailers: Other,yes,no,no,yes,-2,no,yes,no,37500.0,28248.0,14555.7,2.5,1107.2,9188.2,Harry A. Lawton III,Brentwood,Tennessee,https://www.tractorsupply.com,Public
294,DXC Technology,Technology,Information Technology Services,no,no,no,no,-39,no,yes,no,130000.0,3879.0,14430.0,-11.3,-568.0,15845.0,Raul J. Fernandez,Ashburn,Virginia,https://www.dxc.technology,Public
295,AGCO,Industrials,Construction and Farm Machinery,yes,no,no,yes,29,yes,no,no,27900.0,9180.0,14412.4,13.9,1171.4,11421.2,Eric P. Hansotia,Duluth,Georgia,https://www.agcocorp.com,Public
296,Sonic Automotive,Retailing,"Automotive Retailing, Services",yes,no,no,yes,3,yes,no,no,10500.0,1942.0,14372.4,2.7,178.2,5364.6,David Bruton Smith,Charlotte,North Carolina,https://www.sonicautomotive.com,Public
297,Intuit,Technology,Computer Software,yes,no,no,yes,24,yes,no,no,22900.0,181986.0,14368.0,12.9,2384.0,27780.0,Sasan K. Goodarzi,Mountain View,California,https://www.intuit.com,Public
298,United Rentals,Business Services,Equipment Leasing,yes,no,no,yes,57,yes,no,no,26300.0,48437.0,14332.0,23.1,2424.0,25589.0,Matthew J. Flannery,Stamford,Connecticut,https://www.unitedrentals.com,Public
299,Universal Health Services,Health Care,Health Care: Medical Facilities,yes,no,no,yes,12,yes,no,no,85025.0,12265.0,14282.0,6.6,717.8,13967.6,Marc D. Miller,King of Prussia,Pennsylvania,https://www.uhs.com,Public
300,Boston Scientific,Health Care,Medical Products and Equipment,yes,no,no,yes,23,yes,no,no,48000.0,100673.0,14240.0,12.3,1592.0,35136.0,Michael F. Mahoney,Marlborough,Massachusetts,https://www.bostonscientific.com,Public
301,Otis Worldwide,Industrials,Industrial Machinery,yes,no,yes,yes,5,yes,no,no,71000.0,40250.0,14209.0,3.8,1406.0,10117.0,Judith F. Marks,Farmington,Connecticut,https://www.otis.com,Public
302,Xcel Energy,Energy,Utilities: Gas and Electric,yes,no,no,no,-31,no,yes,no,11311.0,29840.0,14206.0,-7.2,1771.0,64079.0,Robert C. Frenzel,Minneapolis,Minnesota,https://www.xcelenergy.com,Public
303,Edward Jones,Financials,Securities,yes,no,yes,yes,30,yes,no,no,54000.0,-,14080.0,13.4,1612.0,28003.0,Penny Pennington,Des Peres,Missouri,https://www.edwardjones.com,Private
304,Ball,Materials,"Packaging, Containers",yes,no,no,no,-35,no,yes,no,21000.0,21206.0,14029.0,-8.6,707.0,19303.0,Daniel W. Fisher,Westminster,Colorado,https://www.ball.com,Public
305,LKQ,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,14,yes,no,no,49000.0,14249.0,13866.0,8.4,936.0,15079.0,Justin Jude,Chicago,Illinois,https://www.lkqcorp.com,Public
306,Mutual of Omaha,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,no,22,yes,no,no,6231.0,-,13855.8,10.6,47.7,51838.6,James T. Blackledge,Omaha,Nebraska,https://www.mutualofomaha.com,Private
307,Mosaic,Chemicals,Chemicals,yes,no,no,yes,-90,no,yes,no,14049.0,10442.0,13696.1,-28.4,1164.9,23032.8,Bruce M. Bodine,Tampa,Florida,https://www.mosaicco.com,Public
308,Textron,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,10,yes,no,no,35000.0,18501.0,13683.0,6.3,921.0,16856.0,Scott C. Donnelly,Providence,Rhode Island,https://www.textron.com,Public
309,Labcorp Holdings,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,no,-31,no,yes,no,61975.0,18373.0,13668.2,-8.1,418.0,16725.1,Adam H. Schechter,Burlington,North Carolina,https://www.labcorp.com,Public
310,Principal Financial,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-74,no,yes,no,19800.0,20358.0,13665.8,-21.9,623.2,305046.7,Daniel J. Houston,Des Moines,Iowa,https://www.principal.com,Public
311,Regeneron Pharmaceuticals,Health Care,Pharmaceuticals,yes,yes,no,yes,28,yes,no,no,13450.0,105645.0,13117.2,7.8,3953.6,33080.2,Leonard S. Schleifer,Tarrytown,New York,https://www.regeneron.com,Public
312,Raymond James Financial,Financials,Securities,yes,no,no,yes,51,yes,no,no,18000.0,26843.0,12992.0,14.9,1739.0,78360.0,Paul C. Reilly,St. Petersburg,Florida,https://www.raymondjames.com,Public
313,Dick's Sporting Goods,Retailing,Specialty Retailers: Other,yes,no,yes,yes,21,yes,no,no,37200.0,18539.0,12984.4,5.0,1046.5,9311.8,Lauren R. Hobart,Coraopolis,Pennsylvania,https://www.dickssportinggoods.com,Public
314,Auto-Owners Insurance,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,48,yes,no,no,6946.0,-,12937.7,13.4,-912.4,36238.2,Jamie Whisnant,Lansing,Michigan,https://www.auto-owners.com,Private
315,Expedia Group,Retailing,Internet Services and Retailing,yes,no,yes,yes,38,yes,no,no,17100.0,18774.0,12839.0,10.0,797.0,21642.0,Ariane  Gorin,Seattle,Washington,https://www.expediagroup.com,Public
316,J.B. Hunt Transport Services,Transportation,"Trucking, Truck Leasing",yes,no,no,no,-36,no,yes,no,34718.0,20582.0,12829.7,-13.4,728.3,8538.3,Shelley Simpson,Lowell,Arkansas,https://www.jbhunt.com,Public
317,M&T Bank,Financials,Commercial Banks,yes,no,no,no,122,yes,no,no,21980.0,24233.0,12752.0,48.2,2741.0,208264.0,Ren? F. Jones,Buffalo,New York,https://www.mtb.com,Public
318,DTE Energy,Energy,Utilities: Gas and Electric,yes,no,no,no,-106,no,yes,no,9950.0,23205.0,12745.0,-33.7,1397.0,44755.0,Gerardo Norcia,Detroit,Michigan,https://www.dteenergy.com,Public
319,AES,Energy,Utilities: Gas and Electric,yes,no,no,yes,8,yes,no,no,9600.0,12745.0,12668.0,0.4,249.0,44799.0,Andr?s R. Gluski,Arlington,Virginia,https://www.aes.com,Public
320,Berry Global Group,Materials,"Packaging, Containers",yes,no,no,no,-36,no,yes,no,44000.0,7010.0,12664.0,-12.6,609.0,16587.0,Kevin Kwilinski,Evansville,Indiana,https://www.berryglobal.com,Public
321,Fifth Third Bancorp,Financials,Commercial Banks,yes,no,no,no,90,yes,no,no,18724.0,25435.0,12641.0,35.2,2349.0,214574.0,Timothy N. Spence,Cincinnati,Ohio,https://www.53.com,Public
322,Air Products & Chemicals,Chemicals,Chemicals,yes,no,no,yes,0,no,no,no,21850.0,53857.0,12600.0,-0.8,2300.2,32002.5,Seifi Ghasemi,Allentown,Pennsylvania,https://www.airproducts.com,Public
323,Corning,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,-31,no,yes,no,49800.0,28192.0,12588.0,-11.3,581.0,28500.0,Wendell P. Weeks,Corning,New York,https://www.corning.com,Public
324,EMCOR Group,Engineering & Construction,Engineering & Construction,yes,no,no,yes,45,yes,no,no,38300.0,16482.0,12582.9,13.6,633.0,6609.7,Anthony J. Guzzi,Norwalk,Connecticut,https://www.emcorgroup.com,Public
325,Amphenol,Technology,Network and Other Communications Equipment,yes,no,no,yes,1,yes,no,no,95000.0,69193.0,12554.7,-0.5,1928.0,16526.4,R. Adam Norwitt,Wallingford,Connecticut,https://www.amphenol.com,Public
326,Westlake,Chemicals,Chemicals,yes,no,no,no,-63,no,yes,no,15520.0,19637.0,12548.0,-20.6,479.0,21035.0,Jean-Marc Gilson,Houston,Texas,https://www.westlake.com,Public
327,DuPont,Chemicals,Chemicals,yes,no,no,yes,-77,no,yes,no,24000.0,32016.0,12528.0,-24.3,423.0,38552.0,Edward D. Breen,Wilmington,Delaware,https://www.dupont.com,Public
328,Liberty Media,Media,Entertainment,yes,no,no,no,12,yes,no,no,6486.0,9700.0,12525.0,3.0,761.0,41168.0,Gregory B. Maffei,Englewood,Colorado,https://www.libertymedia.com,Public
329,S&P Global,Business Services,Financial Data Services,yes,no,no,yes,37,yes,no,no,40450.0,136253.0,12497.0,11.8,2626.0,60589.0,Douglas L. Peterson,New York,New York,https://www.spglobal.com,Public
330,Community Health Systems,Health Care,Health Care: Medical Facilities,no,no,no,no,7,yes,no,no,54500.0,486.0,12490.0,2.3,-133.0,14455.0,Tim L. Hingtgen,Franklin,Tennessee,https://www.chs.net,Public
331,FirstEnergy,Energy,Utilities: Gas and Electric,yes,no,no,no,12,yes,no,no,12042.0,22226.0,12450.0,3.3,1102.0,48767.0,Brian X. Tierney,Akron,Ohio,https://www.firstenergycorp.com,Public
332,Unum Group,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,15,yes,no,no,10683.0,10299.0,12385.9,3.3,1283.8,63255.2,Richard P. McKenney,Chattanooga,Tennessee,https://www.unum.com,Public
333,Henry Schein,Health Care,Wholesalers: Health Care,yes,no,no,yes,-8,no,yes,no,25000.0,9705.0,12339.0,-2.4,416.0,10573.0,Stanley M. Bergman,Melville,New York,https://www.henryschein.com,Public
334,Western Digital,Technology,"Computers, Office Equipment",no,no,no,no,-113,no,yes,no,53000.0,22279.0,12318.0,-34.5,-1706.0,24429.0,David V. Goeckeler,San Jose,California,https://www.westerndigital.com,Public
335,Analog Devices,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,9,yes,no,no,26000.0,98086.0,12305.5,2.4,3314.6,48794.5,Vincent T. Roche,Wilmington,Massachusetts,https://www.analog.com,Public
336,Conagra Brands,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,24,yes,no,no,18600.0,14168.0,12277.0,6.4,683.6,22052.6,Sean M. Connolly,Chicago,Illinois,https://www.conagrabrands.com,Public
337,Citizens Financial Group,Financials,Commercial Banks,yes,no,no,no,82,yes,no,no,17570.0,16635.0,12187.0,34.4,1608.0,221964.0,Bruce W. Van Saun,Providence,Rhode Island,https://www.citizensbank.com,Public
338,Norfolk Southern,Transportation,Railroads,yes,no,no,yes,-18,no,yes,no,20700.0,57570.0,12156.0,-4.6,1827.0,41652.0,Alan H. Shaw,Atlanta,Georgia,https://www.norfolksouthern.com,Public
339,Entergy,Energy,Utilities: Gas and Electric,yes,no,no,yes,-37,no,yes,no,12177.0,22536.0,12147.4,-11.7,2356.5,59703.4,Andrew S. Marsh,New Orleans,Louisiana,https://www.entergy.com,Public
340,W.R. Berkley,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,27,yes,no,no,8329.0,22689.0,12142.9,8.7,1381.4,37202.0,W. Robert Berkley Jr.,Greenwich,Connecticut,https://www.berkley.com,Public
341,DaVita,Health Care,Health Care: Medical Facilities,yes,no,no,no,16,yes,no,no,70000.0,12107.0,12140.1,4.6,691.5,16893.6,Javier J. Rodriguez,Denver,Colorado,https://www.davita.com,Public
342,Northern Trust,Financials,Commercial Banks,yes,no,no,no,135,yes,no,no,23100.0,18141.0,12116.5,56.3,1107.3,150783.1,Michael G. O'Grady,Chicago,Illinois,https://www.northerntrust.com,Public
343,Hormel Foods,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-13,no,yes,no,20000.0,19109.0,12110.0,-2.8,793.6,13448.8,James P. Snee,Austin,Minnesota,https://www.hormelfoods.com,Public
344,Crown Holdings,Materials,"Packaging, Containers",yes,no,no,no,-27,no,yes,no,25000.0,9574.0,12010.0,-7.2,450.0,15034.0,Timothy J. Donahue,Tampa,Florida,https://www.crowncork.com,Public
345,Avis Budget Group,Retailing,"Automotive Retailing, Services",yes,no,no,no,1,yes,no,no,21250.0,4344.0,12008.0,0.1,1632.0,32569.0,Joseph A. Ferraro,Parsippany,New Jersey,https://www.avisbudgetgroup.com,Public
346,Wayfair,Retailing,Internet Services and Retailing,no,yes,no,no,-10,no,yes,no,12800.0,8175.0,12003.0,-1.8,-738.0,3474.0,Niraj S. Shah,Boston,Massachusetts,https://www.wayfair.com,Public
347,MasTec,Engineering & Construction,Engineering & Construction,no,no,no,yes,47,yes,no,no,34000.0,7393.0,11995.9,22.7,-49.9,9373.5,Jos? R. Mas,Coral Gables,Florida,https://www.mastec.com,Public
348,Eversource Energy,Energy,Utilities: Gas and Electric,no,no,no,yes,-13,no,yes,no,10171.0,20963.0,11910.7,-3.1,-442.2,55612.2,Joseph R. Nolan Jr.,Springfield,Massachusetts,https://www.eversource.com,Public
349,Newmont,Energy,"Mining, Crude-Oil Production",no,no,no,yes,-1,no,yes,no,21700.0,41316.0,11812.0,-0.9,-2494.0,55506.0,Thomas R. Palmer,Denver,Colorado,https://www.newmont.com,Public
350,Ryder System,Transportation,Transportation and Logistics,yes,no,no,no,-5,no,yes,no,47500.0,5321.0,11783.0,-1.9,406.0,15778.0,Robert E. Sanchez,Coral Gables,Florida,https://www.ryder.com,Public
351,Fidelity National Financial,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,8,yes,no,no,22293.0,14507.0,11752.0,1.7,517.0,80614.0,Michael J. Nolan,Jacksonville,Florida,https://www.fnf.com,Public
352,Molson Coors Beverage,"Food, Beverages & Tobacco",Beverages,yes,no,no,no,22,yes,no,no,16500.0,14298.0,11702.1,9.4,948.9,26375.1,Gavin D.K. Hattersley,Chicago,Illinois,https://www.molsoncoors.com,Public
353,Caesars Entertainment,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,1,yes,no,no,51000.0,9461.0,11673.0,0.2,786.0,33366.0,Thomas R. Reeg,Reno,Nevada,https://www.caesars.com,Public
354,Lincoln National,Financials,"Insurance: Life, Health (stock)",no,no,yes,no,-132,no,yes,no,11024.0,5418.0,11645.0,-37.9,-752.0,372413.0,Ellen G. Cooper,Radnor,Pennsylvania,https://lincolnfinancial.com/,Public
355,VF,Apparel,Apparel,yes,no,no,no,-6,no,yes,no,26400.0,5964.0,11612.5,-1.9,118.6,13990.5,Bracken P. Darrell,Denver,Colorado,https://www.vfc.com,Public
356,International Flavors & Fragrances,Chemicals,Chemicals,no,no,no,no,-24,no,yes,no,21500.0,21955.0,11479.0,-7.7,-2567.0,30978.0,J. Erik  Fyrwald,New York,New York,https://www.iff.com,Public
357,Huntington Ingalls Industries,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,18,yes,no,no,44000.0,11545.0,11454.0,7.3,681.0,11215.0,Christopher D. Kastner,Newport News,Virginia,https://www.hii.com,Public
358,Advance Auto Parts,Retailing,Specialty Retailers: Other,yes,no,no,yes,10,yes,no,no,54500.0,5072.0,11287.6,1.2,29.7,12276.3,Shane M. O'Kelly,Raleigh,North Carolina,https://www.advanceautoparts.com,Public
359,Public Service Enterprise Group,Energy,Utilities: Gas and Electric,yes,no,no,yes,33,yes,no,no,12543.0,33296.0,11237.0,14.7,2563.0,50741.0,Ralph A. LaRossa,Newark,New Jersey,https://www.pseg.com,Public
360,Ulta Beauty,Retailing,Specialty Retailers: Other,yes,no,no,yes,23,yes,no,no,38000.0,25239.0,11207.3,9.8,1291.0,5707.0,David C. Kimbell,Bolingbrook,Illinois,https://www.ulta.com,Public
361,Hershey,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,yes,yes,19,yes,no,no,19578.0,39719.0,11165.0,7.2,1861.8,11902.9,Michele G. Buck,Hershey,Pennsylvania,https://www.thehersheycompany.com,Public
362,Chewy,Retailing,Internet Services and Retailing,yes,no,no,no,27,yes,no,no,18100.0,6920.0,11147.7,10.4,39.6,3186.9,Sumit Singh,Plantation,Florida,https://www.chewy.com,Public
363,American Tower,Financials,Real estate,yes,no,no,no,10,yes,no,no,5643.0,92147.0,11144.2,4.0,1483.3,66027.6,Steven O. Vondran,Boston,Massachusetts,https://www.americantower.com,Public
364,Mohawk Industries,Household Products,"Home Equipment, Furnishings",no,no,no,yes,-13,no,yes,no,43300.0,8337.0,11135.1,-5.1,-439.5,13559.9,Jeffrey S. Lorberbaum,Calhoun,Georgia,https://www.mohawkind.com,Public
365,Assurant,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,19,yes,no,no,13600.0,9784.0,11131.6,9.2,642.5,33635.2,Keith W. Demmings,Atlanta,Georgia,https://www.assurant.com,Public
366,Thor Industries,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,-112,no,yes,no,24900.0,6257.0,11121.6,-31.8,374.3,7260.8,Robert W. Martin,Elkhart,Indiana,https://www.thorindustries.com,Public
367,Graybar Electric,Wholesalers,Wholesalers: Diversified,yes,no,yes,yes,11,yes,no,no,9500.0,-,11042.4,4.8,463.4,4006.1,Kathleen M. Mazzarella,St. Louis,Missouri,https://www.graybar.com,Private
368,Yum China Holdings,"Hotels, Restaurants & Leisure",Food Services,yes,no,yes,yes,37,yes,no,no,293500.0,15599.0,10978.0,14.7,827.0,12031.0,Joey Wat,Plano,Texas,https://ir.yumchina.com,Public
369,Celanese,Chemicals,Chemicals,yes,no,yes,no,27,yes,no,no,12410.0,19173.0,10940.0,13.1,1960.0,26597.0,Lori J. Ryerkerk,Irving,Texas,https://www.celanese.com,Public
370,Qurate Retail,Retailing,Internet Services and Retailing,no,no,no,no,-28,no,yes,no,20386.0,511.0,10915.0,-9.8,-145.0,11368.0,David L. Rawlinson II,Englewood,Colorado,https://www.qurateretail.com,Public
371,Williams,Energy,Pipelines,yes,no,no,yes,-1,no,yes,no,5601.0,47482.0,10907.0,-0.5,3179.0,52627.0,Alan S. Armstrong,Tulsa,Oklahoma,https://www.williams.com,Public
372,Interpublic Group,Business Services,"Advertising, marketing",yes,no,no,no,-1,no,yes,no,57400.0,12358.0,10889.3,-0.4,1098.4,19267.3,Philippe Krakowsky,New York,New York,https://www.interpublic.com,Public
373,Ovintiv,Energy,"Mining, Crude-Oil Production",yes,no,no,no,-44,no,yes,no,1743.0,13959.0,10883.0,-12.7,2085.0,19987.0,Brendan M. McCracken,Denver,Colorado,https://www.ovintiv.com,Public
374,Icahn Enterprises,Financials,Diversified Financials,no,no,no,no,-80,no,yes,no,15038.0,7298.0,10847.0,-23.1,-684.0,20858.0,Andrew  Teno,Sunny Isles Beach,Florida,https://www.ielp.com,Public
